osm_id,code,fclass,name,index,type
259569252,2301,restaurant,Goya,"St. George's Square, Pimlico",restaurant
259774384,2301,restaurant,Sketch,"Little Argyll Street, West End",restaurant
260278473,2724,memorial,New Zealand War Memorial,"Wellington Arch, Hyde Park",residence
260279816,2724,memorial,Australia War Memorial,"Grosvenor Crescent, Belgravia",residence
261287273,2602,atm,,"Binfield Road, Stockwell",finance
261325952,2205,playground,,"South Lambeth Road, Vauxhall",leisure
261325961,2301,restaurant,Tia Maria Bar & Kitchen,"South Lambeth Road, Vauxhall",restaurant
262311251,2205,playground,,"Devons Road, Bow",leisure
262411966,2301,restaurant,China Ark,"Ansell House, Stepney",restaurant
262565580,2301,restaurant,Giraffe,"Belvedere Road 1, South Bank",restaurant
262565828,2301,restaurant,PizzaExpress,"St. George's Square, Pimlico",restaurant
264515393,2601,bank,RBS,"Bury Place, Holborn",finance
264515623,2511,convenience,Sainsbury's Local,"Bury Place, Holborn",shopping
264515720,2301,restaurant,PizzaExpress,"Lincoln's Inn Fields, Holborn",restaurant
264587384,2301,restaurant,Verdi's,"Stepney Green Station, Stepney",restaurant
264625687,2511,convenience,Whistlestop,"Baldwin Street, St. Luke's",shopping
264625689,2601,bank,Barclays,"Baldwin Street, St. Luke's",finance
264803330,2301,restaurant,PizzaExpress,"Cleaver Street, Kennington",restaurant
264803332,2301,restaurant,Pizza Hut,"Cleaver Street, Kennington",restaurant
264838573,2724,memorial,St George's Circus,"LSBU (Borough Road), Elephant & Castle",residence
265662788,2301,restaurant,Il Posto,"Allington Street, Victoria",restaurant
265662963,2543,doityourself,Screwfix Collect,"Allington Street, Victoria",shopping
266415275,2511,convenience,Nisa Local,"St. John's Park, Cubitt Town",shopping
266481949,2301,restaurant,Aubaine,"Golden Square, Soho",restaurant
267432003,2511,convenience,Tesco Express,"Westminster Pier, Westminster",shopping
269694165,2602,atm,,"Milroy Walk, South Bank",finance
269863072,2724,memorial,Jacob,"Curlew Street, Shad Thames",residence
271517792,2602,atm,,"St. George's Square, Pimlico",finance
271811859,2401,hotel,DoubleTree by Hilton London Angel Kings Cross,"Claremont Square, Angel",residence
271949508,2301,restaurant,Goodman,"Little Argyll Street, West End",restaurant
271949545,2301,restaurant,Pollen Street Social,"Little Argyll Street, West End",restaurant
272077156,2301,restaurant,Uno,"Gloucester Street, Pimlico",restaurant
272078219,2602,atm,,"Gloucester Street, Pimlico",finance
272079218,2501,supermarket,Euro Foods,"Gloucester Street, Pimlico",shopping
272499286,2205,playground,,"Napier Avenue, Millwall",leisure
273210322,2401,hotel,Sidney Hotel,"Gloucester Street, Pimlico",residence
273535349,2511,convenience,Eren's Food store,"Rotherhithe Roundabout, Rotherhithe",shopping
273542295,2301,restaurant,Satay Bar,"Saltoun Road, Brixton",restaurant
274343595,2602,atm,,"Chrisp Street Market, Poplar",finance
275399020,2401,hotel,Huttons Hotel,"Gloucester Street, Pimlico",residence
275402055,2502,bakery,Tachbrook Bakery & Patisserie,"Rampayne Street, Pimlico",shopping
275405499,2301,restaurant,Moo Cantina Pimlico,"Rampayne Street, Pimlico",restaurant
275727982,2511,convenience,M&S Simply Food,"Ashley Place, Victoria",shopping
276070664,2401,hotel,Victor Hotel,"Gloucester Street, Pimlico",residence
276070737,2401,hotel,Luna Simone Hotel,"Gloucester Street, Pimlico",residence
276070789,2401,hotel,Lidos Hotel,"Gloucester Street, Pimlico",residence
276074178,2505,department_store,Marks & Spencer,"Allington Street, Victoria",shopping
276076130,2301,restaurant,About Thyme,"Gloucester Street, Pimlico",restaurant
276676950,2301,restaurant,Pimlico Tandoori,"St. George's Square, Pimlico",restaurant
276757512,2401,hotel,Cedar Guest House,"Belgrave Road, Victoria",residence
276757538,2401,hotel,Alexandar House Hotel,"Belgrave Road, Victoria",residence
276758018,2401,hotel,Best Western Hotel,"Belgrave Road, Victoria",residence
276758495,2401,hotel,Annexe Hotel,"Belgrave Road, Victoria",residence
276759615,2401,hotel,Dover Hotel,"Gloucester Street, Pimlico",residence
276761159,2401,hotel,Comfort Inn London,"Gloucester Street, Pimlico",residence
277337382,2301,restaurant,Caff¨¨ Concerto,"Montpelier Street, Knightsbridge",restaurant
277625214,2512,clothes,All Loved Up,"Alderney Street, Pimlico",shopping
277625215,2529,beauty_shop,The Nail Bar,"Alderney Street, Pimlico",shopping
277910542,2301,restaurant,Dilpasand,"LMU Commercial Road, Whitechapel",restaurant
279104433,2601,bank,NatWest,"Clarkson Street, Bethnal Green",finance
279104462,2602,atm,,"Haggerston Road, Haggerston",finance
279104463,2511,convenience,Tesco Express,"Haggerston Road, Haggerston",shopping
280374450,2602,atm,,"Crabtree Lane, Fulham",finance
280546902,2601,bank,Nationwide,"Great Tower Street, Monument",finance
281425624,2568,laundry,Central Wash,"Ilchester Gardens, Bayswater",shopping
281426069,2301,restaurant,Bella Italia,"Queensway, Kensington Gardens",restaurant
281578826,2602,atm,,"Globe Town Market, Bethnal Green",finance
281578830,2602,atm,,"Globe Town Market, Bethnal Green",finance
282618049,2501,supermarket,Co-op Food,"Borough Road, Elephant & Castle",shopping
282686484,2301,restaurant,PizzaExpress,"Belvedere Road 1, South Bank",restaurant
282686485,2301,restaurant,Honest Burgers,"Belvedere Road 1, South Bank",restaurant
282686486,2301,restaurant,C?te Brasserie,"Belvedere Road 1, South Bank",restaurant
282686488,2301,restaurant,Strada,"Belvedere Road 2, South Bank",restaurant
283207067,2511,convenience,Co-op Food,"Tanner Street, Bermondsey",shopping
283207082,2601,bank,Barclays,"Bermondsey Street, Bermondsey",finance
285921198,2501,supermarket,Waitrose,"Golden Lane, Barbican",shopping
286424805,2511,convenience,Mags & Fags,"Falkirk Street, Hoxton",shopping
286509335,2601,bank,Barclays,"The Blue, Bermondsey",finance
286509356,2301,restaurant,Sanh Hing,"Bermondsey Street, Bermondsey",restaurant
286509357,2301,restaurant,Tower Tandoori,"Bermondsey Street, Bermondsey",restaurant
287453551,2301,restaurant,Simply Indian,"Empire Square, The Borough",restaurant
289425369,2511,convenience,Tigris Supermarket,"Rodney Road , Walworth",shopping
289425459,2511,convenience,,"Brandon Street, Walworth",shopping
289425732,2568,laundry,,"Rodney Road , Walworth",shopping
289563822,2602,atm,,"Westbridge Road, Battersea",finance
290128614,2301,restaurant,Wagamama,"Concert Hall Approach 1, South Bank",restaurant
292384037,2301,restaurant,The Cinnamon Club,"Abbey Orchard Street, Westminster",restaurant
292388037,2511,convenience,Tesco Express,"Abbey Orchard Street, Westminster",shopping
293741400,2601,bank,Barclays - St John's Wood Branch,"Wellington Road, St. John's Wood",finance
293741404,2511,convenience,Tesco Express,"Wellington Road, St. John's Wood",shopping
293741407,2515,bookshop,Oxfam Bookshop,"Greenberry Street, St.John's Wood",shopping
293805811,2301,restaurant,York & Albany,"Gloucester Avenue, Camden Town",restaurant
294590947,2724,memorial,,"Drummond Street , Euston",residence
294765143,2511,convenience,Ideal Stores,"Eversholt Street , Camden Town",shopping
294898184,2723,monument,Little Ben,"Allington Street, Victoria",leisure
295448577,2301,restaurant,Al Arez Express,"Harrowby Street, Marylebone",restaurant
295817593,2602,atm,,"Harrowby Street, Marylebone",finance
295905019,2723,monument,Eisenhower Statue,"Grosvenor Square, Mayfair",leisure
295905024,2401,hotel,The Churchill,"George Place Mews, Marylebone",residence
295905045,2301,restaurant,The Harcourt,"Seymour Place, Marylebone",restaurant
295975600,2511,convenience,Sainsbury's Local,"Bank of England Museum, Bank",shopping
295975928,2301,restaurant,Coq d'Argent,"Cheapside, Bank",restaurant
296014936,2501,supermarket,Costless Supermarket,"Broadley Terrace, Marylebone",shopping
296044909,2602,atm,,"Baldwin Street, St. Luke's",finance
296358655,2301,restaurant,StreetXO,"Clifford Street, Mayfair",restaurant
296491138,2301,restaurant,The Real Greek,"New Globe Walk, Bankside",restaurant
296491141,2301,restaurant,PizzaExpress,"New Globe Walk, Bankside",restaurant
296610106,2543,doityourself,Robert Dyas,"Cheapside, Bank",shopping
296610128,2301,restaurant,Wagamama,"Queen Street 1, Bank",restaurant
296610596,2505,department_store,Marks & Spencer,"Great Tower Street, Monument",shopping
296614820,2301,restaurant,Kirin,"Crosswall, Tower",restaurant
296615763,2301,restaurant,Gaucho,"Tooley Street, Bermondsey",restaurant
296639103,2301,restaurant,Oxo Tower Restaurant,"Milroy Walk, South Bank",restaurant
296889743,2401,hotel,The Tavistock Hotel,"Bedford Way, Bloomsbury",residence
296889744,2401,hotel,Bedford Hotel,"British Museum, Bloomsbury",residence
298205617,2601,bank,NatWest,"Baker Street, Marylebone",finance
298205626,2602,atm,,"Baker Street, Marylebone",finance
298208067,2602,atm,,"Boston Place, Marylebone",finance
298347044,2601,bank,NatWest,"Endsleigh Gardens, Euston",finance
298347045,2401,hotel,County Hotel,"Endsleigh Gardens, Euston",residence
298347046,2401,hotel,Mabeldon Court Hotel,"Cartwright Gardens , Bloomsbury",residence
298915899,2301,restaurant,Rio's Piri Piri,"Broadley Terrace, Marylebone",restaurant
299522559,2505,department_store,Marks & Spencer,"Edgware Road Station, Marylebone",shopping
299523381,2301,restaurant,PizzaExpress,"Crawford Street, Marylebone",restaurant
299612702,2301,restaurant,Franco Manca,"Islington Green, Angel",restaurant
299612951,2512,clothes,H&M,"Cloudesley Road, Angel",shopping
299614394,2511,convenience,Sainsbury's Local,"Islington Green, Angel",shopping
299615150,2301,restaurant,Wahaca,"Islington Green, Angel",restaurant
299615227,2301,restaurant,Sessions,"Islington Green, Angel",restaurant
299615649,2301,restaurant,Street Burger,"Islington Green, Angel",restaurant
299615666,2301,restaurant,Thai Square,"Islington Green, Angel",restaurant
299615868,2301,restaurant,PizzaExpress,"Islington Green, Angel",restaurant
299615920,2301,restaurant,Bellanger,"Islington Green, Angel",restaurant
299615983,2301,restaurant,Nando's,"Islington Green, Angel",restaurant
299616048,2301,restaurant,Carluccio's,"Islington Green, Angel",restaurant
300413446,2301,restaurant,Gourmet Burger Kitchen,"Queen's Gate (South), South Kensington",restaurant
300413484,2301,restaurant,G?,"Queen's Gate (South), South Kensington",restaurant
300425781,2301,restaurant,Papa Roma,"South Kensington Station, South Kensington",restaurant
300425782,2568,laundry,Renzaki,"South Kensington Station, South Kensington",shopping
300425783,2528,greengrocer,D. Mckay Fruiterer,"Queen's Gate (Central), South Kensington",shopping
300425808,2301,restaurant,Moti Mahal,"South Kensington Station, South Kensington",restaurant
300425811,2301,restaurant,Wright Brothers,"Queen's Gate (Central), South Kensington",restaurant
300425812,2301,restaurant,Bella Italia,"Queen's Gate (Central), South Kensington",restaurant
300500853,2511,convenience,Sainsbury's Local,"Clarges Street, Mayfair",shopping
300500855,2512,clothes,Agent Provocateur,"Bruton Street, Mayfair",shopping
300500875,2401,hotel,Holiday Inn,"Arlington Road, Camden Town",residence
300500878,2301,restaurant,Wagamama,"Arlington Road, Camden Town",restaurant
301017056,2511,convenience,Whisson News & Food,"Charlbert Street, St. John's Wood",shopping
301479888,2723,monument,Memorial to Edward Onslow Ford,"Grove End Road, St. John's Wood",leisure
302397668,2561,hairdresser,G&G London,"Queen's Gate (Central), South Kensington",leisure
302410176,2511,convenience,Tesco Express,"Bell Street , Marylebone",shopping
302623763,2542,bicycle_shop,The London Bicycle Repair Shop,"Southwark Station 1, Southwark",shopping
304404285,2542,bicycle_shop,Condor Cycles,"Northington Street , Holborn",shopping
304938549,2725,artwork,Memorial to the Great Exhibition,"Exhibition Road, Knightsbridge",leisure
304995040,2561,hairdresser,Toni & Guy,"Milroy Walk, South Bank",leisure
305579005,2601,bank,HSBC UK,"Bayley Street , Bloomsbury",finance
305579006,2602,atm,,"Bayley Street , Bloomsbury",finance
306042529,2301,restaurant,Wagamama,"Cloudesley Road, Angel",restaurant
306042546,2301,restaurant,Gourmet Burger Kitchen,"Cloudesley Road, Angel",restaurant
306042840,2203,cinema,Vue Islington,"Liverpool Road (N1 Centre), Angel",leisure
306047296,2301,restaurant,Jones & Sons,"Liverpool Road (N1 Centre), Angel",restaurant
306047358,2601,bank,Marks & Spencer,"Cloudesley Road, Angel",finance
306047372,2725,artwork,The Angel,"Cloudesley Road, Angel",leisure
306135216,2301,restaurant,Wasabi,"Wormwood Street, Liverpool Street",restaurant
306135753,2602,atm,,"Bank of England Museum, Bank",finance
306241407,2251,sports_centre,Dolphin Square Fitness Club,"St. George's Square, Pimlico",leisure
307805061,2602,atm,,"Malet Street, Bloomsbury",finance
307828476,2601,bank,Barclays,"Belgrove Street , King's Cross",finance
308079346,2511,convenience,Friends Supermarket,"Alderney Street, Pimlico",shopping
308082035,2301,restaurant,Rousillon,"Bourne Street, Belgravia",restaurant
308426159,2602,atm,,"Westfield Ariel Way, White City",finance
308426720,2544,furniture_shop,west elm,"Westfield Ariel Way, White City",shopping
308839175,2601,bank,Santander,"Torrens Street, Angel",finance
308847205,2401,hotel,Travelodge,"Finsbury Square , Moorgate",residence
309115656,2542,bicycle_shop,CycleSurgery,"Red Lion Square, Holborn",shopping
309937506,2567,travel_agent,Kushiara,"Watney Market, Stepney",leisure
311877347,2601,bank,Barclays,"Red Lion Square, Holborn",finance
312183255,2301,restaurant,M¨¢ L¨¤,"Abbey Orchard Street, Westminster",restaurant
313181119,2251,sports_centre,Bannatyne Health Club,"Bedford Way, Bloomsbury",leisure
313349031,2301,restaurant,Pastaio,"Golden Square, Soho",restaurant
313913508,2301,restaurant,Morinoya,"Guildhouse Street, Victoria",restaurant
317160519,2301,restaurant,La Poule au Pot,"Bourne Street, Belgravia",restaurant
317160690,2724,memorial,Mozart Statue,"Bourne Street, Belgravia",residence
317291386,2301,restaurant,Busaba Eathai,"Bayley Street , Bloomsbury",restaurant
317291389,2501,supermarket,M&S Foodhall,"Bayley Street , Bloomsbury",shopping
317930333,2301,restaurant,Bung Hole Cellars,"Red Lion Street, Holborn",restaurant
318743793,2301,restaurant,Milbank Spice,"Rampayne Street, Pimlico",restaurant
319984690,2301,restaurant,Ping Pong,"Cheapside, Bank",restaurant
319984698,2301,restaurant,Thai Square,"Queen Street 1, Bank",restaurant
321507036,2721,attraction,Hardy Tree,"Pancras Road, King's Cross",leisure
322975294,2301,restaurant,K & F Restaurant,"Burgess Park Albany Road, Walworth",restaurant
323796333,2301,restaurant,Wahaca,"Leonard Circus , Shoreditch",restaurant
331298008,2301,restaurant,Le Sacr¨¦ Coeur,"Islington Green, Angel",restaurant
331534409,2301,restaurant,ASK Italian,"Islington Green, Angel",restaurant
331534417,2301,restaurant,Vigata,"Liverpool Road (N1 Centre), Angel",restaurant
331534430,2301,restaurant,Kilis,"Islington Green, Angel",restaurant
331534431,2301,restaurant,Rosa's Thai Cafe,"Islington Green, Angel",restaurant
331534433,2301,restaurant,Mem & Laz,"Islington Green, Angel",restaurant
331534434,2301,restaurant,Gallipoli Bistro,"Islington Green, Angel",restaurant
332117740,2301,restaurant,PizzaExpress,"Ossulston Street, Somers Town",restaurant
332118767,2201,theatre,Shaw Theatre,"Ossulston Street, Somers Town",leisure
333205608,2301,restaurant,Santa Maria del Sur,"Stanley Grove, Battersea",restaurant
333726500,2301,restaurant,Indian YMCA,"Warren Street Station, Euston",restaurant
334370373,2201,theatre,The Courtyard,"Fanshaw Street, Hoxton",leisure
334631276,2722,museum,Dickens Museum,"Northington Street , Holborn",leisure
336031194,2084,college,White Lion Centre,"Claremont Square, Angel",university
336108135,2601,bank,RBS,"Liverpool Road (N1 Centre), Angel",finance
336108148,2301,restaurant,Frederick's,"Liverpool Road (N1 Centre), Angel",restaurant
336108187,2301,restaurant,The Diner,"Islington Green, Angel",restaurant
338463500,2602,atm,,"Holborn Circus, Holborn",finance
338463558,2301,restaurant,Mugen,"Hatton Garden, Holborn",restaurant
338472530,2301,restaurant,Wasabi,"Hatton Garden, Holborn",restaurant
338472537,2601,bank,Santander,"Hatton Garden, Holborn",finance
338472538,2602,atm,,"Hatton Garden, Holborn",finance
338472551,2301,restaurant,PizzaExpress,"Farringdon Street, Holborn",restaurant
338505169,2301,restaurant,The Chancery,"Breams Buildings, Holborn",restaurant
338505246,2515,bookshop,Blackwells Bookshop,"Red Lion Street, Holborn",shopping
338505250,2502,bakery,Paul,"Red Lion Street, Holborn",shopping
338505256,2512,clothes,T.M.Lewin,"Red Lion Street, Holborn",shopping
338505257,2511,convenience,Sainsbury's Local,"Red Lion Street, Holborn",shopping
338505258,2301,restaurant,Kimchee,"Red Lion Street, Holborn",restaurant
338506120,2601,bank,TSB,"Red Lion Street, Holborn",finance
338507307,2301,restaurant,Samurai,"Newton Street, Covent Garden",restaurant
338507313,2525,mobile_phone_shop,O2,"Lincoln's Inn Fields, Holborn",shopping
338507318,2512,clothes,New Look,"Lincoln's Inn Fields, Holborn",shopping
338507460,2301,restaurant,Sushi Hiroba,"Lincoln's Inn Fields, Holborn",restaurant
338575315,2515,bookshop,Wildy & Sons Ltd,"Breams Buildings, Holborn",shopping
338799188,2725,artwork,London Pride,"Belvedere Road 1, South Bank",leisure
338799189,2725,artwork,Lawrence Olivier As Hamlet,"Belvedere Road 1, South Bank",leisure
338799190,2724,memorial,War Memorial,"Concert Hall Approach 1, South Bank",residence
338952744,2301,restaurant,Yauatcha,"Broadwick Street, Soho",restaurant
338973780,2301,restaurant,Vivat Bacchus,"Duke Street Hill, London Bridge",restaurant
339925189,2602,atm,,"Craven Street, Strand",finance
340053837,2401,hotel,Novotel Waterloo,"Lambeth Road, Vauxhall",residence
340225161,2301,restaurant,Jam-1,"Plough Terrace, Clapham Junction",restaurant
341232621,2301,restaurant,Gustoso,"Queen Mother Sports Centre, Victoria",restaurant
341233197,2301,restaurant,Zizzi,"Allington Street, Victoria",restaurant
341233650,2301,restaurant,Nando's,"Ashley Place, Victoria",restaurant
343354107,2723,monument,The Burghers Of Calais,"Abingdon Green, Westminster",leisure
343357055,2543,doityourself,,"Cranmer Road, Stockwell",shopping
343358397,2511,convenience,Tesco Express,"Vauxhall Cross, Vauxhall",shopping
344199660,2524,outdoor_shop,Rock On!,"Antill Road, Mile End",shopping
344369990,2301,restaurant,Pizza Express,"Westbridge Road, Battersea",restaurant
345341200,2511,convenience,Sainsbury's Local,"Belgrave Road, Victoria",shopping
345830787,2724,memorial,Monument to the 2002 Bali bombings,"Storey's Gate, Westminster",residence
345858516,2511,convenience,Embankment Grocery,"Fire Brigade Pier, Vauxhall",shopping
345858523,2601,bank,HSBC UK,"Albert Embankment, Vauxhall",finance
345863424,2724,memorial,Captain James Cook,"Pall Mall East, West End",residence
345863425,2724,memorial,Royal Marines,"Pall Mall East, West End",residence
345876970,2723,monument,George III,"Charles II Street, West End",leisure
345877690,2301,restaurant,Thai Square,"Charles II Street, West End",restaurant
345879041,2511,convenience,Tesco Express,"Craven Street, Strand",shopping
345886715,2201,theatre,Charing Cross Theatre,"Craven Street, Strand",leisure
346352061,2724,memorial,The Royal Artillery Boer War Memorial,"Waterloo Place, St. James's",residence
346364635,2725,artwork,Lion,"Craven Street, Strand",leisure
346364721,2725,artwork,Lion,"Craven Street, Strand",leisure
346364767,2725,artwork,Lion,"Craven Street, Strand",leisure
346364819,2725,artwork,Lion,"Craven Street, Strand",leisure
346430283,2401,hotel,Amba Hotel Charing Cross,"Craven Street, Strand",residence
346912643,2602,atm,,"Fulham Park Road, Fulham",finance
347142989,2723,monument,Winston Churchill,"Westminster Pier, Westminster",leisure
347143044,2723,monument,Jan Smuts,"Storey's Gate, Westminster",leisure
347143584,2723,monument,Earl of Derby,"Storey's Gate, Westminster",leisure
347144006,2723,monument,Nelson Mandela,"Storey's Gate, Westminster",leisure
347144611,2723,monument,Earl of Beaconsfield,"Storey's Gate, Westminster",leisure
347144620,2723,monument,Sir Robert Peel,"Storey's Gate, Westminster",leisure
347144815,2723,monument,Lord Palmerston,"Storey's Gate, Westminster",leisure
347151757,2401,hotel,Park Plaza Hotels,"Chicheley Street, South Bank",residence
347420319,2725,artwork,Minerva,"Duke Street Hill, London Bridge",leisure
347469612,2511,convenience,Tesco Express,"Fulham Park Road, Fulham",shopping
348012570,2602,atm,,"Parsons Green Station, Parsons Green",finance
348018690,2301,restaurant,PizzaExpress,"Craven Street, Strand",restaurant
348323472,2301,restaurant,Miscusi,"Islington Green, Angel",restaurant
348357924,2301,restaurant,La Farola,"Islington Green, Angel",restaurant
348357929,2301,restaurant,1251,"Islington Green, Angel",restaurant
348357932,2512,clothes,cop. copine,"Islington Green, Angel",shopping
348407533,2301,restaurant,One and One,"Torrens Street, Angel",restaurant
348407534,2301,restaurant,Tortilla,"Torrens Street, Angel",restaurant
348414892,2521,gift_shop,Cards Galore,"Liverpool Road (N1 Centre), Angel",shopping
348426178,2525,mobile_phone_shop,O2,"Liverpool Road (N1 Centre), Angel",shopping
348426447,2525,mobile_phone_shop,Three,"Liverpool Road (N1 Centre), Angel",shopping
348426449,2512,clothes,Accessorize,"Liverpool Road (N1 Centre), Angel",shopping
348426452,2512,clothes,Oasis,"Liverpool Road (N1 Centre), Angel",shopping
348605997,2301,restaurant,Desperados,"Islington Green, Angel",restaurant
348713530,2301,restaurant,Pho,"Liverpool Road (N1 Centre), Angel",restaurant
348713588,2602,atm,,"Liverpool Road (N1 Centre), Angel",finance
348713724,2601,bank,Lloyds Bank,"Liverpool Road (N1 Centre), Angel",finance
348713885,2521,gift_shop,Scribbler,"Liverpool Road (N1 Centre), Angel",shopping
348714057,2602,atm,,"Liverpool Road (N1 Centre), Angel",finance
348826086,2724,memorial,Sir Henry Irving,"St. Martin's Street, West End",residence
